PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31611419","Neurological Scottish neologisms","Leach JP, Dani K, MacDougall NJ, Gallagher P, Newman EJ.","Pract Neurol. 2019 Dec;19(6):465-466. doi: 10.1136/practneurol-2019-002426. Epub 2019 Oct 14.","Leach JP","Pract Neurol","2019","2019/10/16","","","10.1136/practneurol-2019-002426"
"31803987","Coronary artery bypass vs percutaneous coronary intervention in under 50s","Shafi AMA, Dhanji AAA, Habib AM, Kennon SRO, Awad WI.","J Card Surg. 2020 Feb;35(2):320-327. doi: 10.1111/jocs.14370. Epub 2019 Dec 5.","Shafi AMA","J Card Surg","2020","2019/12/06","","","10.1111/jocs.14370"
"33223992","Predicting Patients Found to Have Malignancy at Nipple Duct Surgery","Alshurbasi N, Cartlidge CWJ, Kohlhardt SR, Hadad SM.","Breast Care (Basel). 2020 Oct;15(5):491-497. doi: 10.1159/000504528. Epub 2019 Dec 13.","Alshurbasi N","Breast Care (Basel)","2020","2020/11/23","PMC7650137","","10.1159/000504528"
"31746250","Virtual reality and chronic low back pain","Tack C.","Disabil Rehabil Assist Technol. 2021 Aug;16(6):637-645. doi: 10.1080/17483107.2019.1688399. Epub 2019 Nov 20.","Tack C","Disabil Rehabil Assist Technol","2021","2019/11/21","","","10.1080/17483107.2019.1688399"
"31889517","Virtual special issue: error in radiology","Maskell G.","Clin Radiol. 2020 Mar;75(3):159-160. doi: 10.1016/j.crad.2019.11.018. Epub 2019 Dec 28.","Maskell G","Clin Radiol","2020","2020/01/01","","","10.1016/j.crad.2019.11.018"
"34394743","Current concepts in elbow fracture dislocation","Watts AC, Singh J, Elvey M, Hamoodi Z.","Shoulder Elbow. 2021 Aug;13(4):451-458. doi: 10.1177/1758573219884010. Epub 2019 Nov 13.","Watts AC","Shoulder Elbow","2021","2021/08/16","PMC8355651","","10.1177/1758573219884010"
"31645194","Genitourinary syndrome of menopause","Briggs P.","Post Reprod Health. 2020 Jun;26(2):111-114. doi: 10.1177/2053369119884144. Epub 2019 Oct 23.","Briggs P","Post Reprod Health","2020","2019/10/25","","","10.1177/2053369119884144"
"34249326","An interesting pill to swallow","Sethi K, Hoque S.","Frontline Gastroenterol. 2019 Nov 20;12(4):357-358. doi: 10.1136/flgastro-2019-101342. eCollection 2021.","Sethi K","Frontline Gastroenterol","2019","2021/07/12","PMC8231422","","10.1136/flgastro-2019-101342"
"31885991","Microdebrider-Assisted Rhinophyma Excision","Abushaala A, Stavrakas M, Khalil H.","Case Rep Otolaryngol. 2019 Nov 20;2019:4915416. doi: 10.1155/2019/4915416. eCollection 2019.","Abushaala A","Case Rep Otolaryngol","2019","2019/12/31","PMC6925738","","10.1155/2019/4915416"
"31693566","Obstetric complications in pregnancies with life-limiting malformations","Quaresima P, Homfray T, Greco E.","Curr Opin Obstet Gynecol. 2019 Dec;31(6):375-387. doi: 10.1097/GCO.0000000000000583.","Quaresima P","Curr Opin Obstet Gynecol","2019","2019/11/07","","","10.1097/GCO.0000000000000583"
"31830237","Movement disorders: a themed collection","Haunton VJ.","Age Ageing. 2019 Dec 1;49(1):12-15. doi: 10.1093/ageing/afz147.","Haunton VJ","Age Ageing","2019","2019/12/13","","","10.1093/ageing/afz147"
"31929787","Contemporary Tailored Oncology Treatment of Biliary Tract Cancers","Turkes F, Carmichael J, Cunningham D, Starling N.","Gastroenterol Res Pract. 2019 Dec 18;2019:7698786. doi: 10.1155/2019/7698786. eCollection 2019.","Turkes F","Gastroenterol Res Pract","2019","2020/01/14","PMC6935796","","10.1155/2019/7698786"
"32043007","Stem cell therapy in discogenic back pain","Barakat AH, Elwell VA, Lam KS.","J Spine Surg. 2019 Dec;5(4):561-583. doi: 10.21037/jss.2019.09.22.","Barakat AH","J Spine Surg","2019","2020/02/12","PMC6989932","","10.21037/jss.2019.09.22"
"31522944","Evolving Role of Systemic Therapies in Non-melanoma Skin Cancer","Conforti C, Corneli P, Harwood C, Zalaudek I.","Clin Oncol (R Coll Radiol). 2019 Nov;31(11):759-768. doi: 10.1016/j.clon.2019.08.011. Epub 2019 Sep 12.","Conforti C","Clin Oncol (R Coll Radiol)","2019","2019/09/17","","","10.1016/j.clon.2019.08.011"
"30318997","The development of a clinical policy ethics assessment tool","Garcia-Capilla DJ, Rubio-Navarro A, Torralba-Madrid MJ, Rutty J.","Nurs Ethics. 2019 Nov-Dec;26(7-8):2259-2277. doi: 10.1177/0969733018795207. Epub 2018 Oct 14.","Garcia-Capilla DJ","Nurs Ethics","2019","2018/10/16","","","10.1177/0969733018795207"
"33995568","Utility of erythrocyte indices in identifying iron depletion in pregnancy","Vora SM, Messina G, Pavord S.","Obstet Med. 2021 Mar;14(1):23-25. doi: 10.1177/1753495X19878617. Epub 2019 Nov 8.","Vora SM","Obstet Med","2021","2021/05/17","PMC8107966","","10.1177/1753495X19878617"
"31666288","Abnormal arterial anatomy and an unexpected intracranial haemorrhage","Bannerman K.","Arch Dis Child Educ Pract Ed. 2021 Aug;106(4):233-234. doi: 10.1136/archdischild-2019-317834. Epub 2019 Oct 30.","Bannerman K","Arch Dis Child Educ Pract Ed","2021","2019/11/01","","","10.1136/archdischild-2019-317834"
"31749248","Giant scabetic plaques","Shuber E, Hughes AJ, Natkunarajah J.","Clin Exp Dermatol. 2020 Jul;45(5):587-589. doi: 10.1111/ced.14147. Epub 2019 Dec 19.","Shuber E","Clin Exp Dermatol","2020","2019/11/22","","","10.1111/ced.14147"
"31577164","Ocular amyloid: adnexal and systemic involvement","Kang S, Dehabadi MH, Rose GE, Verity DH, Amin S, Das-Bhaumik R.","Orbit. 2020 Feb;39(1):13-17. doi: 10.1080/01676830.2019.1594988. Epub 2019 Oct 2.","Kang S","Orbit","2020","2019/10/03","","","10.1080/01676830.2019.1594988"
"31740449","Feather duvet lung","Liu-Shiu-Cheong P, Kuo CR, Wilkie SW, Dempsey O.","BMJ Case Rep. 2019 Nov 18;12(11):e231237. doi: 10.1136/bcr-2019-231237.","Liu-Shiu-Cheong P","BMJ Case Rep","2019","2019/11/20","PMC6936544","","10.1136/bcr-2019-231237"
"31843743","Kindness: an underrated currency","Klaber RE, Bailey S.","BMJ. 2019 Dec 16;367:l6099. doi: 10.1136/bmj.l6099.","Klaber RE","BMJ","2019","2019/12/18","","","10.1136/bmj.l6099"
"31848085","Seasonal flu-vaccination in the immunocompromised burns patient","Rodger FE, Taggart I.","Burns. 2020 Feb;46(1):178-181. doi: 10.1016/j.burns.2018.03.010. Epub 2019 Dec 14.","Rodger FE","Burns","2020","2019/12/19","","","10.1016/j.burns.2018.03.010"
"29252051","Eye-Tracking Technology in Surgical Training","Merali N, Veeramootoo D, Singh S.","J Invest Surg. 2019 Nov;32(7):587-593. doi: 10.1080/08941939.2017.1404663. Epub 2017 Dec 18.","Merali N","J Invest Surg","2019","2017/12/19","","","10.1080/08941939.2017.1404663"
"31453273","Omentum a powerful biological source in regenerative surgery","Di Nicola V.","Regen Ther. 2019 Aug 8;11:182-191. doi: 10.1016/j.reth.2019.07.008. eCollection 2019 Dec.","Di Nicola V","Regen Ther","2019","2019/08/28","PMC6700267","","10.1016/j.reth.2019.07.008"
"31387755","Liver transplantation for unresectable malignancies: Beyond hepatocellular carcinoma","Amer A, Wilson CH, Manas DM.","Eur J Surg Oncol. 2019 Dec;45(12):2268-2278. doi: 10.1016/j.ejso.2019.07.024. Epub 2019 Jul 24.","Amer A","Eur J Surg Oncol","2019","2019/08/08","","","10.1016/j.ejso.2019.07.024"
"33456910","Serotonin syndrome in the perioperative period","Bartakke A, Corredor C, van Rensburg A.","BJA Educ. 2020 Jan;20(1):10-17. doi: 10.1016/j.bjae.2019.10.003. Epub 2019 Dec 4.","Bartakke A","BJA Educ","2020","2021/01/18","PMC7807833","","10.1016/j.bjae.2019.10.003"
"31448495","Systematic review of cognitive deficits in adult mitochondrial disease","Moore HL, Blain AP, Turnbull DM, Gorman GS.","Eur J Neurol. 2020 Jan;27(1):3-17. doi: 10.1111/ene.14068. Epub 2019 Oct 22.","Moore HL","Eur J Neurol","2020","2019/08/27","PMC6916601","","10.1111/ene.14068"
"31685972","External dacryocystorhinostomy in patients with granulomatous polyangiitis","Stewart CM, Rose GE.","Eye (Lond). 2020 Aug;34(8):1382-1385. doi: 10.1038/s41433-019-0662-1. Epub 2019 Nov 4.","Stewart CM","Eye (Lond)","2020","2019/11/06","PMC7376108","","10.1038/s41433-019-0662-1"
"31750767","Foundation Year Doctors need more support","Chandler ER, Briggs E, Whitfield HN.","Med Leg J. 2020 Mar;88(1):22-24. doi: 10.1177/0025817219882298. Epub 2019 Nov 21.","Chandler ER","Med Leg J","2020","2019/11/22","","","10.1177/0025817219882298"
"31674234","Integrated care systems and nurse leadership","Duncan M.","Br J Community Nurs. 2019 Nov 2;24(11):538-542. doi: 10.12968/bjcn.2019.24.11.538.","Duncan M","Br J Community Nurs","2019","2019/11/02","","","10.12968/bjcn.2019.24.11.538"
"32335646","Women in Surgery: Changing Perspectives","Shrestha BM.","JNMA J Nepal Med Assoc. 2019 Nov-Dec;57(220):390-392. doi: 10.31729/jnma.4124.","Shrestha BM","JNMA J Nepal Med Assoc","2019","2020/04/27","PMC7580426","","10.31729/jnma.4124"
"31810464","Uses of quick response codes in healthcare education: a scoping review","Karia CT, Hughes A, Carr S.","BMC Med Educ. 2019 Dec 6;19(1):456. doi: 10.1186/s12909-019-1876-4.","Karia CT","BMC Med Educ","2019","2019/12/08","PMC6896690","","10.1186/s12909-019-1876-4"
"31638484","Personality disorder: Complexity, countertransference and co-production","Yakeley J.","Med Sci Law. 2019 Oct;59(4):205-209. doi: 10.1177/0025802419880782.","Yakeley J","Med Sci Law","2019","2019/10/23","","","10.1177/0025802419880782"
"31854161","Osteoporosis and fragility fractures: risk assessment, management and prevention","Walker J.","Nurs Older People. 2020 Jan 28;32(1):34-41. doi: 10.7748/nop.2019.e1153. Epub 2019 Dec 12.","Walker J","Nurs Older People","2020","2019/12/20","","","10.7748/nop.2019.e1153"
"31608991","Antiepileptic drugs for seizure control in people with neurocysticercosis","Frackowiak M, Sharma M, Singh T, Mathew A, Michael BD.","Cochrane Database Syst Rev. 2019 Oct 14;10(10):CD009027. doi: 10.1002/14651858.CD009027.pub3. Online ahead of print.","Frackowiak M","Cochrane Database Syst Rev","2019","2019/10/15","PMC6790915","","10.1002/14651858.CD009027.pub3"
"31503015","Risk prediction in chronic kidney disease","Ali I, Kalra P.","Curr Opin Nephrol Hypertens. 2019 Nov;28(6):513-518. doi: 10.1097/MNH.0000000000000553.","Ali I","Curr Opin Nephrol Hypertens","2019","2019/09/11","","","10.1097/MNH.0000000000000553"
"31660514","Learning to speak up and to learn differently","Vaux E, Szram J.","Future Healthc J. 2019 Oct;6(3):150-151. doi: 10.7861/fhj.ed-6-3-2.","Vaux E","Future Healthc J","2019","2019/10/30","PMC6798022","","10.7861/fhj.ed-6-3-2"
"31532559","Editorial: depression in NAFLD-worth looking for","Parker R.","Aliment Pharmacol Ther. 2019 Oct;50(7):830-831. doi: 10.1111/apt.15453.","Parker R","Aliment Pharmacol Ther","2019","2019/09/19","","","10.1111/apt.15453"
"31674123","Parastomal Hernia - Cinderella no more","Pinkney T.","Colorectal Dis. 2019 Nov;21(11):1235-1236. doi: 10.1111/codi.14873.","Pinkney T","Colorectal Dis","2019","2019/11/02","","","10.1111/codi.14873"
"30354281","Adoptive parents' experiences of dyadic developmental psychotherapy","Wingfield M, Gurney-Smith B.","Clin Child Psychol Psychiatry. 2019 Oct;24(4):661-679. doi: 10.1177/1359104518807737. Epub 2018 Oct 25.","Wingfield M","Clin Child Psychol Psychiatry","2019","2018/10/26","","","10.1177/1359104518807737"
"32015963","Penile Rings: No Innovation without Evaluation","Monib S, Amr B.","Eur J Case Rep Intern Med. 2019 Dec 18;7(1):001292. doi: 10.12890/2019_001292. eCollection 2020.","Monib S","Eur J Case Rep Intern Med","2019","2020/02/05","PMC6993907","","10.12890/2019_001292"
"31704884","Curious case of gut dysmotility","Lee PS, Jopson L, Needham SJ, Mountford CG, Thompson NP.","Gut. 2021 Jan;70(1):66-126. doi: 10.1136/gutjnl-2019-319840. Epub 2019 Nov 8.","Lee PS","Gut","2021","2019/11/10","","","10.1136/gutjnl-2019-319840"
"31755733","Virtual arthroplasty follow-up: five-year data from a district general hospital","Fisher R, Hamilton V, Reader S, Khatun F, Porteous M.","Ann R Coll Surg Engl. 2020 Mar;102(3):220-224. doi: 10.1308/rcsann.2019.0139. Epub 2019 Nov 22.","Fisher R","Ann R Coll Surg Engl","2020","2019/11/23","PMC7027418","","10.1308/rcsann.2019.0139"
"31676596","Biologic therapy for Behçet's uveitis: a systematic review","Uke P, Gorodkin R, Beare N.","Br J Ophthalmol. 2020 Aug;104(8):1045-1051. doi: 10.1136/bjophthalmol-2019-314154. Epub 2019 Nov 1.","Uke P","Br J Ophthalmol","2020","2019/11/03","","","10.1136/bjophthalmol-2019-314154"
"31660763","Implant wastage in orthopaedic trauma: a UK experience","Jayakumar N, Munuswamy S, Kulshreshtha R, Deshmukh S.","Ann R Coll Surg Engl. 2020 Mar;102(3):225-228. doi: 10.1308/rcsann.2019.0151. Epub 2019 Oct 29.","Jayakumar N","Ann R Coll Surg Engl","2020","2019/10/30","PMC7027411","","10.1308/rcsann.2019.0151"
"31597062","The association between ethnic background and prostate cancer","McAllister BJ.","Br J Nurs. 2019 Oct 10;28(18):S4-S10. doi: 10.12968/bjon.2019.28.18.S4.","McAllister BJ","Br J Nurs","2019","2019/10/10","","","10.12968/bjon.2019.28.18.S4"
"31621492","Morbidity Following Hand-Assisted Laparoscopic Donor Nephrectomy","Ulyett S, Paraskeva P, Stacey S, Stell D, Akoh J, Barwell J, Aroori S.","J Laparoendosc Adv Surg Tech A. 2019 Nov;29(11):1427-1430. doi: 10.1089/lap.2019.0144. Epub 2019 Oct 17.","Ulyett S","J Laparoendosc Adv Surg Tech A","2019","2019/10/18","","","10.1089/lap.2019.0144"
"31849041","Hedgehog pathway inhibitors come of age","Fife K.","Br J Dermatol. 2020 Jun;182(6):1322-1323. doi: 10.1111/bjd.18737. Epub 2019 Dec 17.","Fife K","Br J Dermatol","2020","2019/12/19","","","10.1111/bjd.18737"
"31800318","Paperlite: piloting a new way of working in community nursing","Uprichard K.","Br J Community Nurs. 2019 Dec 2;24(12):586-589. doi: 10.12968/bjcn.2019.24.12.586.","Uprichard K","Br J Community Nurs","2019","2019/12/05","","","10.12968/bjcn.2019.24.12.586"
"31784871","Vital bleaching for children with dental anomalies: EAPD members' survey","Monteiro J, Ashley PF, Parekh S.","Eur Arch Paediatr Dent. 2020 Oct;21(5):565-571. doi: 10.1007/s40368-019-00494-w. Epub 2019 Nov 29.","Monteiro J","Eur Arch Paediatr Dent","2020","2019/12/01","PMC7518994","","10.1007/s40368-019-00494-w"
"33447151","Ambulance clinicians' perspectives of sharing patient information electronically","Barrett JW.","Br Paramed J. 2019 Dec 1;4(3):49-50. doi: 10.29045/14784726.2019.12.4.3.49.","Barrett JW","Br Paramed J","2019","2021/01/15","PMC7783923","","10.29045/14784726.2019.12.4.3.49"
"31509025","Is it safe to SCUBA dive with asthma?","Gore MD, Dixon G, Stanton AE.","Expert Rev Respir Med. 2019 Nov;13(11):1069-1077. doi: 10.1080/17476348.2019.1666003. Epub 2019 Sep 11.","Gore MD","Expert Rev Respir Med","2019","2019/09/12","","","10.1080/17476348.2019.1666003"
"31615585","A role for 5-HT(4) receptors in human learning and memory","Murphy SE, Wright LC, Browning M, Cowen PJ, Harmer CJ.","Psychol Med. 2020 Dec;50(16):2722-2730. doi: 10.1017/S0033291719002836. Epub 2019 Oct 16.","Murphy SE","Psychol Med","2020","2019/10/17","","","10.1017/S0033291719002836"
"31827929","Neurosurgical Care of Nonpowder Firearm Injuries: A Narrative Review of the Literature","Wan Y, Griffiths S, Ganau M.","Emerg Med Int. 2019 Nov 20;2019:4680184. doi: 10.1155/2019/4680184. eCollection 2019.","Wan Y","Emerg Med Int","2019","2019/12/13","PMC6886332","","10.1155/2019/4680184"
"31581894","Dr Joseph Dudley 'Benjy' Benjafield: Microbiologist, soldier and Bentley Boy racing driver","McLoughlin L.","J Med Biogr. 2021 Aug;29(3):155-161. doi: 10.1177/0967772019876090. Epub 2019 Oct 4.","McLoughlin L","J Med Biogr","2021","2019/10/05","","","10.1177/0967772019876090"
"31700546","Renal oncocytoma with vascular and perinephric fat invasion","Omiyale AO, Carton J.","Ther Adv Urol. 2019 Nov 1;11:1756287219884857. doi: 10.1177/1756287219884857. eCollection 2019 Jan-Dec.","Omiyale AO","Ther Adv Urol","2019","2019/11/09","PMC6826931","","10.1177/1756287219884857"
"31800317","Population health management and its relevance to community nurses","Duncan M.","Br J Community Nurs. 2019 Dec 2;24(12):596-599. doi: 10.12968/bjcn.2019.24.12.596.","Duncan M","Br J Community Nurs","2019","2019/12/05","","","10.12968/bjcn.2019.24.12.596"
"31656568","British Society of Gastroenterology: diagnosis and management of acute lower gastrointestinal bleeding","Bond A, Smith PJ.","Frontline Gastroenterol. 2019 Oct;10(4):417-420. doi: 10.1136/flgastro-2019-101220. Epub 2019 Apr 29.","Bond A","Frontline Gastroenterol","2019","2019/10/29","PMC6788130","","10.1136/flgastro-2019-101220"
"32248913","Leadless pacemakers - The path to safer pacing?","Nadarajah R, Ali N, Patel PA.","Indian Heart J. 2019 Nov-Dec;71(6):431-433. doi: 10.1016/j.ihj.2019.11.255. Epub 2019 Nov 19.","Nadarajah R","Indian Heart J","2019","2020/04/07","PMC7136320","","10.1016/j.ihj.2019.11.255"
"31455987","Early Experience of Trans-arterial Chemo-Embolisation for Hepatocellular Carcinoma with a Novel Radiopaque Bead","Reicher J, Mafeld S, Priona G, Reeves HL, Manas DM, Jackson R, Littler P.","Cardiovasc Intervent Radiol. 2019 Nov;42(11):1563-1570. doi: 10.1007/s00270-019-02317-3. Epub 2019 Aug 27.","Reicher J","Cardiovasc Intervent Radiol","2019","2019/08/29","PMC6775038","","10.1007/s00270-019-02317-3"
"31663804","Social media in hand surgery","Naqui Z, Khor WS.","J Hand Surg Eur Vol. 2020 Feb;45(2):208-209. doi: 10.1177/1753193419883575. Epub 2019 Oct 30.","Naqui Z","J Hand Surg Eur Vol","2020","2019/10/31","","","10.1177/1753193419883575"
"31690576","Implantable cardioverter-defibrillators in dialysis patients","Mills MT.","BMJ Evid Based Med. 2020 Oct;25(5):187-188. doi: 10.1136/bmjebm-2019-111281. Epub 2019 Nov 5.","Mills MT","BMJ Evid Based Med","2020","2019/11/07","","","10.1136/bmjebm-2019-111281"
"31508988","Menière's disease treated by grommet insertion","Kanegaonkar RG, Najuko-Mafemera A, Hone R, Tikka T.","Ann R Coll Surg Engl. 2019 Nov;101(8):602-605. doi: 10.1308/rcsann.2019.0099. Epub 2019 Sep 11.","Kanegaonkar RG","Ann R Coll Surg Engl","2019","2019/09/12","PMC6818060","","10.1308/rcsann.2019.0099"
"31697213","Should we pay more to participants involved in research projects?","Bhattacharya S.","Med Leg J. 2019 Dec;87(4):201-203. doi: 10.1177/0025817219881971. Epub 2019 Nov 7.","Bhattacharya S","Med Leg J","2019","2019/11/08","","","10.1177/0025817219881971"
"32839254","Oncology workforce skills and competencies required for molecular medicine","Groves E.","Eur J Hosp Pharm. 2020 Sep;27(5):249-250. doi: 10.1136/ejhpharm-2019-002134. Epub 2019 Dec 2.","Groves E","Eur J Hosp Pharm","2020","2020/08/26","PMC7447247","","10.1136/ejhpharm-2019-002134"
"31674232","Clinical implications of self-neglect among patients in community settings","Noblett K.","Br J Community Nurs. 2019 Nov 2;24(11):524-526. doi: 10.12968/bjcn.2019.24.11.524.","Noblett K","Br J Community Nurs","2019","2019/11/02","","","10.12968/bjcn.2019.24.11.524"
"31615845","How to use N-terminal pro-brain natriuretic peptide (NT-proBNP) in assessing disease severity in bronchiolitis","Edwards KD, Tighe MP.","Arch Dis Child Educ Pract Ed. 2020 Oct;105(5):282-288. doi: 10.1136/archdischild-2019-316896. Epub 2019 Oct 15.","Edwards KD","Arch Dis Child Educ Pract Ed","2020","2019/10/17","","","10.1136/archdischild-2019-316896"
"29260930","The mechanisms underpinning peer support: a literature review","Watson E.","J Ment Health. 2019 Dec;28(6):677-688. doi: 10.1080/09638237.2017.1417559. Epub 2017 Dec 20.","Watson E","J Ment Health","2019","2017/12/21","","","10.1080/09638237.2017.1417559"
"31740872","Microbial profile and antibiotic susceptibility trend in postoperative endophthalmitis: a 12-year review","Baig R, Mal PB, Ahmed K, Sadiq SN, Zafar S, Jabeen G, Kukreja S.","J Pak Med Assoc. 2019 Nov;69(11):1647-1650. doi: 10.5455/JPMA.1902..","Baig R","J Pak Med Assoc","2019","2019/11/20","","","10.5455/JPMA.1902."
"31596944","Medical and surgical interventions for the treatment of urinary stones in children","Barreto L, Jung JH, Abdelrahim A, Ahmed M, Dawkins GPC, Kazmierski M.","Cochrane Database Syst Rev. 2019 Oct 9;10(10):CD010784. doi: 10.1002/14651858.CD010784.pub3. Online ahead of print.","Barreto L","Cochrane Database Syst Rev","2019","2019/10/10","PMC6785002","","10.1002/14651858.CD010784.pub3"
"31582406","Brief commentary: are we ready?","Winter R.","Emerg Med J. 2019 Dec;36(12):765. doi: 10.1136/emermed-2019-209037. Epub 2019 Oct 3.","Winter R","Emerg Med J","2019","2019/10/05","","","10.1136/emermed-2019-209037"
"31672807","Another marker of underlying pathology","Ward CJ, Cuthill K, Crook M.","Br J Gen Pract. 2019 Oct 31;69(688):544. doi: 10.3399/bjgp19X706229. Print 2019 Nov.","Ward CJ","Br J Gen Pract","2019","2019/11/02","PMC6808570","","10.3399/bjgp19X706229"
"32879579","Osteochondromas of the cervical spine-case series and review","Rajakulasingam R, Murphy J, Botchu R, James SL.","J Clin Orthop Trauma. 2020 Sep-Oct;11(5):905-909. doi: 10.1016/j.jcot.2019.12.014. Epub 2019 Dec 31.","Rajakulasingam R","J Clin Orthop Trauma","2020","2020/09/04","PMC7452280","","10.1016/j.jcot.2019.12.014"
"31680575","Developing the advanced nurse practitioner role in a memory service","Clibbens R, Depledge A, Hemingway S.","Br J Nurs. 2019 Oct 24;28(19):1251-1255. doi: 10.12968/bjon.2019.28.19.1251.","Clibbens R","Br J Nurs","2019","2019/11/05","","","10.12968/bjon.2019.28.19.1251"
