,date_published,authors,journal_title,article_title,all_num_citations_crossref,all_num_references_crossref
42,"[2019, 7, 16]","['Zamir, Muhammad Affan', 'Hakim, Wasim', 'Yusuf, Siraj', 'Thomas, Robert']",Current Radiopharmaceuticals,Imaging of Pancreatic-Neuroendocrine Tumours: An Outline of Conventional Radiological Techniques,3,56
43,"[2019, 4]","['Hewson, D.W.', 'Oldman, M.', 'Bedforth, N.M.']",BJA Education,Regional anaesthesia for shoulder surgery,11,25
44,"[2019, 2]","['Aidoo, E.', 'Rajapakse, D.']",BJA Education,Overview of paediatric palliative care,1,14
45,"[2019, 5, 1]","['Chadwick, Katie', 'Whitehead, Simon J', 'Ford, Clare', 'Gama, Rousseau']",The Journal of Applied Laboratory Medicine,kEDTA Sample Contamination: A Reappraisal,6,17
46,"[2019, 1]","['Tyson, Luke D', 'Lewis, Heather']",Clinical Medicine,How I treat… alcohol-related liver disease,0,30
47,"[2019, 2, 15]","['Shah, Amar']",BMJ,Using data for improvement,25,9
48,"[2019, 1, 4]","['Caldwell, Helen']",Nursing Standard,"Preventing, identifying and treating hepatitis C",0,56
49,"[2019, 1, 10]","['Grimes, Caris E', 'Stringer, Belinda', 'Roberts-Jones, Linda']",BMJ Supportive &amp; Palliative Care,Simple and powerful: a consultant and governance-led bereavement service,1,14
50,"[2019, 5]","['Pairaudeau, C.', 'Mendonca, C.']",BJA Education,Anaesthesia for major middle ear surgery,1,25
51,"[2019, 3]","['Harvey, D.J.R.', 'Gardiner, D.']",BJA Education,‘MORAL balance’ decision-making in critical care,3,18
52,"[2018, 12, 19]","['Powell, Neil', 'Wilcock, Michael']",Drug and Therapeutics Bulletin,Challenging the supremacy of intravenous antibiotics,1,6
53,"[2019, 2, 15]","['Decker, E.', 'Currie, A.', 'Baig, M. K.']",Hernia,Prolene hernia system versus Lichtenstein repair for inguinal hernia: a meta-analysis,4,28
54,"[2019, 9, 5]","['Fong, Caroline Y. K.', 'Burke, Emma', 'Cunningham, David', 'Starling, Naureen']",Gastroenterology Research and Practice,Up-to-Date Tailored Systemic Treatment in Pancreatic Ductal Adenocarcinoma,3,118
55,"[2019, 4, 15]","['Patel, Mitesh', 'Fowler, Dawn', 'Sizer, Jeremy', 'Walton, Christopher']",PLOS ONE,Faecal volatile biomarkers of Clostridium difficile infection,16,45
56,"[2019, 2, 23]","['Rogers, Trevor Keith']",Thorax,Minimising diagnostic delay in lung cancer,3,21
57,"[2019, 2, 7]","['Aresti, Nick A', 'Di Mascio, Livio']",BMJ,Subacromial decompression surgery for shoulder pain,2,12
58,"[2019, 1]","['Jacob, Susie', 'Balen, Adam H']",Clinical Medicine Insights: Reproductive Health,How Will the New Global Polycystic Ovary Syndrome Guideline Change Our Clinical Practice?,5,34
59,"[2019, 3]","['Muir, Morag', 'Burns, Jacky', 'McGoldrick, Niall']",Evidence-Based Dentistry,Oral care and nursing home-acquired pneumonia,0,5
60,"[2019, 1, 24]","['Odell, Mandy']",British Journal of Nursing,Patient- and relative-activated critical care outreach: a 7-year service review,7,23
61,"[2018, 5, 25]","['Rennie, Janet M', 'Beer, Jeanette', 'Upton, Michele']",Archives of Disease in Childhood - Fetal and Neonatal Edition,Learning from claims: hyperbilirubinaemia and kernicterus,10,7
62,"[2019, 3]","['Nzeako, Obinna', 'Bakti, Nik', 'Bawale, Rajesh', 'Singh, Bijayendra']",Journal of Clinical Orthopaedics and Trauma,Bone block procedures for glenohumeral joint instability,3,48
63,"[2019, 3, 7]","['Madhavan, Giri']",BJPsych Bulletin,Telepsychiatry in intellectual disability psychiatry: literature review,7,41
64,"[2019, 11, 20]","['Wan, Yizhou', 'Griffiths, Stewart', 'Ganau, Mario']",Emergency Medicine International,Neurosurgical Care of Nonpowder Firearm Injuries: A Narrative Review of the Literature,3,63
65,"[2019, 1, 17]","['Jha, Swati']",BJOG: An International Journal of Obstetrics &amp; Gynaecology,Dr Jekyll and Mr Hyde,0,0
66,"[2019, 2]","['Cho, G.']",Transfusion Medicine,2018 European Conference on Donor Health and Management,1,11
67,"[2019, 1]","['Murgitroyd, E', 'Fraser, SCA', 'Hebson, A', 'Lewis, DR']",The Annals of The Royal College of Surgeons of England,Implementation of a supervised exercise therapy programme,2,18
68,"[2019, 3]","['Sewell, L.', 'Abbas, A.', 'Kane, N.']",BJA Education,Introduction to interpretation of the EEG in intensive care,0,21
69,"[2019, 4]","['O’Dwyer, Sabrina', 'Clark, Anna', 'Taggart, Hayley', 'Noori, Muna']",BMJ Open Quality,Woman-Centred Induction of Labour (the WOCIL project),0,19
70,"[2019, 5, 7]","['Griffiths, Chris', 'O’Neill-Kerr, Alex']",Frontiers in Psychiatry,"Patients’, Carers’, and the Public’s Perspectives on Electroconvulsive Therapy",16,38
71,"[2019, 3, 18]","['Jennison, Toby', 'Jawed, Abdulla', 'ElBakoury, Ahmed', 'Hosny, Hazem', 'Yarlagadda, Rathan']",European Journal of Orthopaedic Surgery &amp; Traumatology,Reliability of the commonly used classification systems for interprosthetic fractures,7,13
72,"[2019, 2, 28]","['Shrestha, Badri Man']",Journal of Nepal Medical Association,Systematic Reviews and Meta-analysis: Principles and Practice,0,0
73,"[2019, 6, 28]","['Filippini, Claire', 'NaN, NaN', 'Teh, James', 'NaN, NaN']",Journal of Ultrasonography,Ultrasound features of sole of foot pathology: a review,2,0
74,"[2019, 3]","['Schofield, Lauren', 'Walsh, David', 'Feng, Zhiqiang', 'Buchanan, Duncan', 'Dibben, Chris', 'Fischbacher, Colin', 'McCartney, Gerry', 'Munoz-Arroyo, Rosalia', 'Whyte, Bruce']",BMJ Open,Does ethnic diversity explain intra-UK variation in mortality? A longitudinal cohort study,1,40
75,"[2019, 4]","['Chaudhuri, Arindam']",European Journal of Vascular and Endovascular Surgery,Are All DCBs Created Equal?,1,6
76,"[2019, 3, 28]","['Martin, Cheryl', 'Martin, Hayley']",British Journal of Nursing,Urinalysis using a test strip,0,10
77,"[2018, 11, 10]","['Coyle, Clare', 'Evans, Holli']",Heart,A career in cardiology: why?,1,4
78,"[2019, 3]","['Weinbren, M.']",Infection Prevention in Practice,"Water, life and death",0,10
79,"[2019, 1, 8]","['Chanchlani, Neil']",BMJ,E-cigarettes: friend or foe?,1,0
80,"[2018, 12, 27]","['White, Michael J']",British Journal of General Practice,Treatment-resistant depression: consider autism,0,4
81,"[2018, 12, 4]","['Pollard, R.', 'Higham, H.', 'Quinlan, J.', 'Webster, R.', 'Lie, J.', 'Sivasubramaniam, S.']",Anaesthesia,Nerve block site marking,0,14
82,"[2019, 1]","['Manavi, Kaveh']",Clinical Medicine,Feedback on CME haematology,0,4
83,"[2019, 1, 21]","['Cipriani, Andrea', 'Tomlinson, Anneka']",Evidence Based Mental Health,Providing the most appropriate care to our <i>individual</i> patients,13,17
84,"[2019, 10]","['Rickart, A.J.', 'Drummond-Hay, V.', 'Suchak, A.', 'Sadiq, Z.', 'Sebire, N.J.', 'Slater, O.', 'Mills, C.']",International Journal of Oral and Maxillofacial Surgery,Melanotic neuroectodermal tumour of infancy: Refining the surgical approach,9,23
85,"[2019, 1]","['Al-Asiry, Jamal', 'Lord, Richard', 'Mohammed, Noor']",Therapeutic Advances in Gastrointestinal Endoscopy,"Management of spontaneous and iatrogenic perforations, leaks and fistulae of the upper gastrointestinal tract",0,49
86,"[2019, 4]","['Arman, S', 'Vijendren, A', 'Mochloulis, G']",The Annals of The Royal College of Surgeons of England,The incidence of post-thyroidectomy hypocalcaemia: a retrospective single-centre audit,7,19
87,[2019],"['Marks, Bertram', 'Fasih, Tarannum', 'Amonkar, Sunil', 'Pervaz, Mujahid']",International Journal of Surgery Case Reports,Necrotising fasciitis of the breast: A rare but deadly disease,6,20
88,"[2018, 3, 30]","['Barazzone, Natalie', 'Santos, Ines', 'McGowan, John', 'Donaghay-Spire, Eloise']","Psychology and Psychotherapy: Theory, Research and Practice",The links between adult attachment and post-traumatic stress: A systematic review,17,56
89,"[2019, 2, 15]","['Misirovs, Rasads', 'Mohamad, Shwan']","Ear, Nose & Throat Journal",Reverse Squeeze Maxillary Sinus Barotrauma,2,5
90,[2019],"['Abbas, Ahmed']",Journal of the Royal College of Physicians of Edinburgh,Author’s reply,0,0
91,"[2019, 1, 10]","['Menon, Shyam', 'Mathew, Ray']",Indian Journal of Gastroenterology,Association between metabolic syndrome and hepatobiliary cancers: A case-control study,9,32
92,"[2019, 1]","['Willows, Jamie', 'Sayer, John A']",Clinical Medicine,CYP24A1 mutations and hypervitaminosis D,0,4
93,"[2019, 1, 29]","['Eristavi, Archil', 'Sabin, Ian', 'Al-Sarraj, Safa', 'Aizpurua, Miren']",British Journal of Neurosurgery,Cranial vault unicameral bone cyst,1,5
94,"[2019, 5]","['Mackay, E.', 'Jennings, J.', 'Webber, S.']",BJA Education,Medicines safety in anaesthetic practice,2,25
95,"[2019, 3, 21]","['Stather, Philip W.', 'Petty, Carroll', 'Howard, Adam Q.']",International Wound Journal,Review of adjustable velcro wrap devices for venous ulceration,3,35
96,"[2019, 2, 25]","['Tóth, Márta', 'Shah, Anupa', 'Hu, Kuang', 'Bunce, Catey', 'Gazzard, Gus']",Cochrane Database of Systematic Reviews,Endoscopic cyclophotocoagulation (ECP) for open angle glaucoma and primary angle closure,6,36
97,"[2019, 3, 28]","['Ahmad, Mehtab']",British Journal of Nursing,Evidence-based research is key to challenging and improving practice,0,4
98,"[2019, 5]","['Chambers, D.J.', 'Wisely, N.A.']",BJA Education,Cardiopulmonary exercise testing—a beginner’s guide to the nine-panel plot,6,10
99,"[2019, 10]","['Tallentire, Victoria Ruth', 'Harley, Catherine Anne', 'Watson, Simon']",BMJ Open Quality,Quality planning for impactful improvement: a mixed methods review,3,36
100,"[2019, 5]","['Gimson, Amy', 'Javadzadeh, Shagayegh', 'Doshi, Akash']",Advances in Medical Education and Practice,&lt;p&gt;Bedside teaching: everybody’s but nobody’s responsibility&lt;/p&gt;,2,0
101,"[2019, 2, 13]","['Tolppa, Timo', 'Plumptre, Isabella', 'Mouyis, Maria']",Clinical Rheumatology,Reproductive rheumatology: the male perspective,1,5
102,"[2019, 4]","['Cook, Tim M.', 'Harrop-Griffiths, A. William', 'Whitaker, David K.', 'McNarry, Alistair F.', 'Patel, Anil', 'McGuire, Barry']",British Journal of Anaesthesia,The ‘No Trace=Wrong Place’ campaign,11,16
103,"[2018, 7, 6]","['Young, Amy', 'McKechnie, Liz', 'Harrison, Catherine M']",Archives of Disease in Childhood - Fetal and Neonatal Edition,Family integrated care: what’s all the fuss about?,4,10
104,[2019],"['Currie, Andrew\xa0C.']",European Surgical Research,Intraoperative Sentinel Node Mapping in the Colon: Potential and Pitfalls,4,40
105,"[2019, 3, 21]","['Kar, Partha']",BMJ,Partha Kar: Dieting and body shaming,3,0
106,"[2016, 10, 6]","['Milders, Maarten', 'Bell, Stephen', 'Lorimer, Angus', 'Jackson, Heather', 'McNamee, Paul']",Dementia,Improving access to a multi-component intervention for caregivers and people with dementia,3,29
107,"[2019, 3]","['Strauss, Claire Emma', 'Hann, Gayle']",BMJ Case Reports,Unusual first presentation of a metabolic disorder,2,25
108,"[2018, 9, 24]","['Johnson, Katherine', 'Boland, Billy']",BJPsych Bulletin,Adult safeguarding under the Care Act 2014,0,21
109,"[2019, 2, 1]","['Mughal, Zahir', 'Charlton, Alex', 'El-Sawy, Hamid', 'Bhatt, Chaitanya']",Journal of Surgical Case Reports,Postoperative hemiparesis following tonsillectomy,0,9
110,"[2019, 1, 8]","['Kapeller, Karolina', 'Chanchlani, Neil']",BMJ,Tips for the childhood immunisation OSCE,0,0
111,[2019],"['Nabi, Ghulam', 'Quddus, MuhammadBilal', 'Pratt, Norman']",Urology Annals,Chromosomal aberrations in renal cell carcinoma: An overview with implications for clinical practice,11,61
112,"[2018, 7, 27]","['Herron, Jonathan B T', 'Harbit, Andrew', 'Dunbar, James A T']",BMJ Evidence-Based Medicine,Subduing the killer - sepsis; through simulation,4,20
113,"[2019, 3, 2]","['Divakova, Olga', 'Khunda, Aethele', 'Ballard, Paul A.']",International Urogynecology Journal,Episcissors-60™ and obstetrics anal sphincter injury: a systematic review and meta-analysis,8,30
114,"[2018, 6, 28]","['Jennison, Toby', 'Yarlagadda, Rathan']",European Journal of Orthopaedic Surgery &amp; Traumatology,A case series of patients change in mobility following a hip fracture,0,18
115,"[2019, 6]","['Makwana, Meeral', 'Walsh, Stephen', 'Gangoli, Sameer']",BJR|case reports,An unexpected finding from a submental mass,0,6
116,"[2019, 4, 14]","['Rangarajan, Karan', 'Somani, Bhaskar K.']",Arab Journal of Urology,Trends in quality of life reporting for radical cystectomy and urinary diversion over the last four decades: A systematic review of the literature,14,31
117,"[2019, 8, 27]","['Woodward, Elizabeth', 'Sachschal, Juliane', 'Beierl, Esther T.', 'Ehlers, Anke']",European Journal of Psychotraumatology,Night-time rumination in PTSD: development and validation of a brief measure,6,51
118,"[2018, 9, 27]","['Cabral, Ana', 'Oram, Charlotte', 'Allum, Sally']",Journal of Nursing Management,Developing nursing leadership talent-Views from the NHS nursing leadership for south-east England,4,29
119,"[2019, 3]","['Mamo, Jonathan']",Future Healthcare Journal,Developing a trustworthy quality improvement framework,0,0
120,"[2019, 3, 5]","['Lesser, Piers J A']",BMJ,Avoiding euphemisms for female genital mutilation,1,1
121,"[2019, 3]","['Chiodini, Jane']",Travel Medicine and Infectious Disease,"“E Emporiatrics”: Experience online, travel-medicine updates",0,0
122,"[2018, 5, 10]","['Celentano, V.', 'Sagias, F.', 'Flashman, K. G.', 'Conti, J.', 'Khan, J.']",Scandinavian Journal of Surgery,Laparoscopic Redo Ileocolic Resection for Crohn’s Disease in Patients with Previous Multiple Laparotomies,7,18
123,"[2019, 2, 26]","['Rivett, Emma', 'Hammond, Laura', 'West, Juniper']",Psychogeriatrics,What influences self‐perceived competence and confidence in dementia care home staff? A systematic review,4,28
124,"[2019, 1]","['Stockmann, Tom']",Therapeutic Advances in Psychopharmacology,What it was like to stop an antidepressant,2,2
125,"[2019, 1, 9]","['Whorwell, Peter J']",BMJ,Availability of over-the-counter laxatives should not be restricted,0,7
126,"[2019, 1, 10]","['Coghill, Yvonne']",British Journal of Nursing,When will we see more diverse nursing leadership?,4,7
127,"[2019, 3]","['Twine, Christopher P.']",European Journal of Vascular and Endovascular Surgery,“Endovascular first” Strategies are not for Every Patient,0,4
128,"[2016, 10, 6]","['Hooper, Emma K', 'Collins, Tracy']",Dementia,An occupational perspective of the lived experience of familial dementia caregivers: A thematic review of qualitative literature,3,43
129,"[2019, 2]","['West, Sophie', 'Karamsadkar, Sanjay', 'Cross, Susan']",Radiology Case Reports,Segmental testicular infarction following nephrectomy,1,9
130,"[2017, 9, 27]","['Wilcock, Michael', 'Powell, Neil', 'Underwood, Frazer']",European Journal of Hospital Pharmacy,Antimicrobial stewardship and the hospital nurse and midwife: how do they perceive their role?,0,0
131,"[2019, 6]","['Dowson, Philip']",BMJ Open Quality,Shoulder Reduction Bench Project: improving care for patients with shoulder dislocations,1,16
132,"[2019, 3]","['Roshen, Michael', 'John, Sophia', 'Ahmet, Selda', 'Amersey, Rajiv', 'Gupta, Sandy', 'Collins, George']",Echo Research and Practice,Paired surveys for patients and physiologists in echocardiography: a single-centre experience,0,12
133,"[2019, 4]","['Ramphul, M.']",Best Practice &amp; Research Clinical Obstetrics &amp; Gynaecology,"“Strategies to increase the accuracy and safety of OVD” (Clinical assessment skills and role of ultrasound, simulation training and new technologies to enhance instrument application)",3,59
134,"[2019, 1, 7]","['Cook, Glenda', 'Hodgson, Philip', 'Hope, Claire', 'Thompson, Juliana', 'Shaw, Lynne']",Journal of Clinical Nursing,Hydration practices in residential and nursing care homes for older people,8,46
135,"[2019, 2, 19]","['Jonker, Leon', 'Fisher, Stacey Jayne', 'Dagnan, Dave']",Journal of Evaluation in Clinical Practice,Patients admitted to more research‐active hospitals have more confidence in staff and are better informed about their condition and medication: Results from a retrospective cross‐sectional study,23,20
136,"[2018, 10, 23]","['Melo, P', 'Georgiou, EX', 'Hedditch, A', 'Ellaway, P', 'Impey, L']",BJOG: An International Journal of Obstetrics &amp; Gynaecology,External cephalic version at term: a cohort study of 18 years’ experience,39,30
137,"[2019, 3]","['Patel, S', 'Thompson, D', 'Innocent, S', 'Narbad, V', 'Selway, R', 'Barkas, K']",The Annals of The Royal College of Surgeons of England,Risk factors for surgical site infections in neurosurgery,10,25
138,"[2018, 4, 30]","['Lawton, TO', 'Quinn, A', 'Fletcher, SJ']",Journal of the Intensive Care Society,Perioperative metabolic acidosis: The Bradford Anaesthetic Department Acidosis Study,5,20
139,"[2019, 2, 27]","['Borton, Z', 'Shivji, F', 'Simeen, S', 'Williams, R', 'Tambe, A', 'Espag, M', 'Cresswell, T', 'Clark, D']",Shoulder & Elbow,Diabetic patients are almost twice as likely to experience complications from arthroscopic rotator cuff repair,4,18
140,"[2019, 3, 1]","['Thakrar, Reena', 'Monib, Sherif', 'Pakdemirli, Emre', 'Thomson, Simon']",Journal of Surgical Case Reports,Calcified gallbladder cancer: is it preventable?,4,16
141,"[2019, 5]","['MacDonald, F.', 'Gupta, S.']",Journal of Orthopaedics,Has the Scottish Managed Clinical Network for Sarcoma influenced the survival outcomes for primary malignant bone tumours?,0,31
142,"[2019, 7]","['Taylor, Jonathan', 'Fenner, John']",BJR|Open,The challenge of clinical adoption—the insurmountable obstacle that will stop machine learning?,2,4
143,"[2019, 3, 4]","['Dawood, Mary', 'Gamston, Julia']",Emergency Nurse,An intervention to improve retention in emergency nursing,2,39
144,"[2019, 3, 4]","['Dawood, Mary', 'Gamston, Julia']",Emergency Nurse,An intervention to improve retention in emergency nursing,2,39
145,[2019],"['F Leask, Calum', 'NaN, NaN', 'Gilmartin, Andrea', 'NaN, NaN']",AIMS Public Health,Implementation of a neighbourhood care model in a Scottish integrated context—views from patients,3,19
146,"[2019, 2, 11]","['Trethewey, Samuel P']",The Clinical Teacher,Breaking good news: a Foundation year doctor's perspective,2,6
147,"[2019, 1, 8]","['Warnakulasuriya, Samantha R', 'Harvey, Rachel', 'McNarry, Alistair F']",The Clinical Teacher,Translation of national guidelines into local practice,3,13
148,"[2019, 1, 17]","['von Stempel, Conrad', 'Fayed, Hossam', 'Goode, John Antony', 'Kalra, Sundeep', 'Patel, Niket']",CVIR Endovascular,Viabahn stent graft in the management of a grade 3 coronary perforation,1,10
149,"[2019, 2]","['Elnahal, Walid A.', 'Ward, Anthony J.', 'Acharya, Mehool R.', 'Chesser, Timothy J. S.']",Journal of Orthopaedic Trauma,Does Routine Postoperative Computerized Tomography After Acetabular Fracture Fixation Affect Management?,9,18
150,"[2018, 11, 13]","['Rajappan, Kim']",Heart,Assessing cardiovascular risk in aviation: if only we had a crystal ball!,0,0
151,"[2019, 3, 2]","['Harrop-Griffiths, William']",British Journal of Hospital Medicine,"Never events: on their 10th anniversary, do we need a new name?",4,3
152,"[2019, 6]","['Parwaiz, Hammad', 'Aliaga Crespo, Boris', 'Filer, Joshua', 'Thorpe, Ashley', 'Seatter, Rosie', 'Faulkner, Dominique Suzanne', 'Sandhu, Harvey']",BMJ Open Quality,Improving the accuracy of digital templating: achieving success through stakeholder management,1,6
153,"[2018, 12, 14]","['Parmar, Chetan D.', 'Efeotor, O.', 'Ali, A.', 'Sufi, Pratik', 'Mahawar, K. K.']",Obesity Surgery,Primary Banded Sleeve Gastrectomy: a Systematic Review,4,27
154,"[2019, 1, 28]","['Donohoe, Clare']",Nursing Management,An exploration of NHS clinical staff perceptions of changes to clinical products and their procurement,0,10
155,"[2019, 3]","['Quraishi, Shuaib']",Future Healthcare Journal,Improving the diagnosis and management of urinary tract infections at Surrey and Sussex NHS Trust,0,0
156,"[2019, 8]","['Stewart, Christopher M.', 'Rose, Geoffrey E.']",Ophthalmology,External Dacryocystorhinostomy in Patients with Systemic Sarcoidosis,1,5
157,"[2018, 12, 28]","['Fagg, J.', 'Valabhji, J.']",Diabetic Medicine,How do we identify people at high risk of Type 2 diabetes and help prevent the condition from developing?,3,75
158,[2019],"['Lim, Jun Hao', 'Sundar, Santhanam']",ESMO Open,Prognosis of early stage small cell bladder cancer is not always dismal,1,19
159,"[2018, 10, 15]","['Galtrey, Clare M', 'Levee, Viva', 'Arevalo, Jan', 'Wren, Damian']",Practical Neurology,Long QT syndrome masquerading as epilepsy,2,8
160,"[2019, 3]","['Aujayeb, Avinash', 'Green, Nicola Jane']",BMJ Case Reports,Re-expansion pulmonary oedema in pneumothorax,1,5
161,"[2019, 2]","['Maklad, Mohamed', 'Gradhand, Elise', 'West, Emily']",BMJ Case Reports,Paramedian chest wall dermoid cyst,2,5
162,"[2019, 6]","['Sebastian, Maria Paz', 'Shanmuganathan, Sanjeevan']",British Journal of Anaesthesia,Opioids in the postoperative period: a call for consensus,2,5
163,"[2019, 9, 18]","['Hassan, Faaiq']",International Journal of Ophthalmology,Xen45 Gel Stent implant: patient reported outcomes,1,0
164,"[2019, 10]","['Roughan, Laura Ann', 'Stafford, Jamie']",BMJ Open Quality,Demand and capacity in an ADHD team: reducing the wait times for an ADHD assessment to 12 weeks,3,21
165,"[2018, 9, 8]","['Reeve, Sarah', 'Sheaves, Bryony', 'Freeman, Daniel']",Schizophrenia Bulletin,"Sleep Disorders in Early Psychosis: Incidence, Severity, and Association With Clinical Symptoms",52,48
