PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30936704","Unmet needs in asthma","Gruffydd-Jones K.","Ther Clin Risk Manag. 2019 Mar 14;15:409-421. doi: 10.2147/TCRM.S160327. eCollection 2019.","Gruffydd-Jones K","Ther Clin Risk Manag","2019","2019/04/03","PMC6422410","","10.2147/TCRM.S160327"
"30845869","Editorial","Larner AJ.","J Med Biogr. 2019 Nov;27(4):185. doi: 10.1177/0967772019837119. Epub 2019 Mar 7.","Larner AJ","J Med Biogr","2019","2019/03/09","","","10.1177/0967772019837119"
"33456847","Smoking and anaesthesia","Carrick MA, Robson JM, Thomas C.","BJA Educ. 2019 Jan;19(1):1-6. doi: 10.1016/j.bjae.2018.09.005. Epub 2018 Nov 6.","Carrick MA","BJA Educ","2019","2021/01/18","PMC7807986","","10.1016/j.bjae.2018.09.005"
"33456848","Pharmacokinetics in sepsis","Charlton M, Thompson JP.","BJA Educ. 2019 Jan;19(1):7-13. doi: 10.1016/j.bjae.2018.09.006. Epub 2018 Nov 9.","Charlton M","BJA Educ","2019","2021/01/18","PMC7807908","","10.1016/j.bjae.2018.09.006"
"31133206","Author's Response","Chakravartty S.","Surg Obes Relat Dis. 2019 Apr;15(4):671. doi: 10.1016/j.soard.2019.02.010. Epub 2019 Mar 20.","Chakravartty S","Surg Obes Relat Dis","2019","2019/05/29","","","10.1016/j.soard.2019.02.010"
"30809909","Transanal excision","Cunningham C.","Colorectal Dis. 2019 Mar;21 Suppl 1:41-44. doi: 10.1111/codi.14494.","Cunningham C","Colorectal Dis","2019","2019/02/28","","","10.1111/codi.14494"
"30704998","Prescribing parkrun","McGuinness J.","Br J Gen Pract. 2019 Feb;69(679):64. doi: 10.3399/bjgp19X700901.","McGuinness J","Br J Gen Pract","2019","2019/02/02","PMC6355289","","10.3399/bjgp19X700901"
"30651258","Subarachnoid haemorrhage","Shipman KE, Ramalingam SK, Dawson CH, Yasear ZA.","Clin Med (Lond). 2019 Jan;19(1):88-89. doi: 10.7861/clinmedicine.19-1-88a.","Shipman KE","Clin Med (Lond)","2019","2019/01/18","PMC6399641","","10.7861/clinmedicine.19-1-88a"
"30839004","Notalgia paraesthetica","Jawad ASM.","J R Coll Physicians Edinb. 2019 Mar;49(1):92-94. doi: 10.4997/JRCPE.2019.122.","Jawad ASM","J R Coll Physicians Edinb","2019","2019/03/07","","","10.4997/JRCPE.2019.122"
"30602286","The elusive spleen","Dixon S, Horgan LF.","Ann R Coll Surg Engl. 2019 Mar;101(3):176-179. doi: 10.1308/rcsann.2018.0215. Epub 2019 Jan 3.","Dixon S","Ann R Coll Surg Engl","2019","2019/01/04","PMC6400912","","10.1308/rcsann.2018.0215"
"30668932","Praxis makes perfect?","Bailey C.","BJPsych Bull. 2019 Jun;43(3):99-100. doi: 10.1192/bjb.2018.106. Epub 2019 Jan 23.","Bailey C","BJPsych Bull","2019","2019/01/23","PMC8058841","","10.1192/bjb.2018.106"
"30793352","Nail cosmetics: a dermatological perspective","Dinani N, George S.","Clin Exp Dermatol. 2019 Aug;44(6):599-605. doi: 10.1111/ced.13929. Epub 2019 Feb 21.","Dinani N","Clin Exp Dermatol","2019","2019/02/23","","","10.1111/ced.13929"
"31431823","Recent advances in colonoscopy","Seward E.","F1000Res. 2019 Jul 9;8:F1000 Faculty Rev-1028. doi: 10.12688/f1000research.18503.1. eCollection 2019.","Seward E","F1000Res","2019","2019/08/22","PMC6619369","","10.12688/f1000research.18503.1"
"31293994","Intrahepatic Gallbladder","Monib S, Mahapatra P, Habashy HF.","Eur J Case Rep Intern Med. 2019 May 27;6(6):001123. doi: 10.12890/2019_001123. eCollection 2019.","Monib S","Eur J Case Rep Intern Med","2019","2019/07/12","PMC6601687","","10.12890/2019_001123"
"30684244","Ophthalmology and Therapy: Looking Back at 2018 and Forward to 2019","Aslam T.","Ophthalmol Ther. 2019 Mar;8(1):1-4. doi: 10.1007/s40123-019-0162-1. Epub 2019 Jan 25.","Aslam T","Ophthalmol Ther","2019","2019/01/27","PMC6393259","","10.1007/s40123-019-0162-1"
"30612484","Maintaining sexual function after pelvic floor surgery","Jha S.","Climacteric. 2019 Jun;22(3):236-241. doi: 10.1080/13697137.2018.1551870. Epub 2019 Jan 7.","Jha S","Climacteric","2019","2019/01/08","","","10.1080/13697137.2018.1551870"
"31460518","Endoscopic management of refractory benign oesophageal strictures","Everett SM.","Ther Adv Gastrointest Endosc. 2019 Aug 19;12:2631774519862134. doi: 10.1177/2631774519862134. eCollection 2019 Jan-Dec.","Everett SM","Ther Adv Gastrointest Endosc","2019","2019/08/29","PMC6702770","","10.1177/2631774519862134"
"31885991","Microdebrider-Assisted Rhinophyma Excision","Abushaala A, Stavrakas M, Khalil H.","Case Rep Otolaryngol. 2019 Nov 20;2019:4915416. doi: 10.1155/2019/4915416. eCollection 2019.","Abushaala A","Case Rep Otolaryngol","2019","2019/12/31","PMC6925738","","10.1155/2019/4915416"
"30936325","Runaway pacemaker","Gul A, Sheikh MA, Rao A.","BMJ Case Rep. 2019 Mar 31;12(3):e225411. doi: 10.1136/bcr-2018-225411.","Gul A","BMJ Case Rep","2019","2019/04/03","PMC6453287","","10.1136/bcr-2018-225411"
"31929787","Contemporary Tailored Oncology Treatment of Biliary Tract Cancers","Turkes F, Carmichael J, Cunningham D, Starling N.","Gastroenterol Res Pract. 2019 Dec 18;2019:7698786. doi: 10.1155/2019/7698786. eCollection 2019.","Turkes F","Gastroenterol Res Pract","2019","2020/01/14","PMC6935796","","10.1155/2019/7698786"
"30714538","Peptide Receptor Radionuclide Therapy for Pancreatic Neuroendocrine Tumours","Alsadik S, Yusuf S, Al-Nahhas A.","Curr Radiopharm. 2019;12(2):126-134. doi: 10.2174/1874471012666190201164132.","Alsadik S","Curr Radiopharm","2019","2019/02/05","","","10.2174/1874471012666190201164132"
"31055257","Interviews with paediatricians","Cassidy T; foundation year; doctor, Watson L.","BMJ. 2019 Jan 8;364:j5412. doi: 10.1136/sbmj.j5412.","Cassidy T","BMJ","2019","2019/05/06","","","10.1136/sbmj.j5412"
"33456876","Nutrition in critical care","Chowdhury R, Lobaz S.","BJA Educ. 2019 Mar;19(3):90-95. doi: 10.1016/j.bjae.2018.11.007. Epub 2019 Jan 26.","Chowdhury R","BJA Educ","2019","2021/01/18","PMC7808007","","10.1016/j.bjae.2018.11.007"
"30872309","Haematology: Multiple Myeloma","Cullis J.","Clin Med (Lond). 2019 Mar;19(2):188. doi: 10.7861/clinmedicine.19-2-188a.","Cullis J","Clin Med (Lond)","2019","2019/03/16","PMC6454351","","10.7861/clinmedicine.19-2-188a"
"30868925","Churchill's fractured neck of femur","McLoughlin L.","J Med Biogr. 2019 Aug;27(3):129-136. doi: 10.1177/0967772018785858. Epub 2019 Mar 14.","McLoughlin L","J Med Biogr","2019","2019/03/15","","","10.1177/0967772018785858"
"30787023","Atypical testicular pain","Bedi N, Rahimi MNC, Menzies S, Kalsi J.","BMJ Case Rep. 2019 Feb 19;12(2):e226697. doi: 10.1136/bcr-2018-226697.","Bedi N","BMJ Case Rep","2019","2019/02/22","PMC6388880","","10.1136/bcr-2018-226697"
"30673325","Procurement of IV products","Woodley M.","Br J Nurs. 2019 Jan 24;28(2):S3. doi: 10.12968/bjon.2019.28.2.S3.","Woodley M","Br J Nurs","2019","2019/01/24","","","10.12968/bjon.2019.28.2.S3"
"31531238","Extracervical Approaches to Thyroid Surgery: Evolution and Review","Sephton BM.","Minim Invasive Surg. 2019 Aug 20;2019:5961690. doi: 10.1155/2019/5961690. eCollection 2019.","Sephton BM","Minim Invasive Surg","2019","2019/09/19","PMC6719267","","10.1155/2019/5961690"
"31321073","Mortality during marathons: a narrative review of the literature","Dayer MJ, Green I.","BMJ Open Sport Exerc Med. 2019 Jun 27;5(1):e000555. doi: 10.1136/bmjsem-2019-000555. eCollection 2019.","Dayer MJ","BMJ Open Sport Exerc Med","2019","2019/07/20","PMC6606059","","10.1136/bmjsem-2019-000555"
"32009990","Smartphones and Wearables as a Method for Understanding Symptom Mechanisms","Griffin B, Saunders KEA.","Front Psychiatry. 2020 Jan 17;10:949. doi: 10.3389/fpsyt.2019.00949. eCollection 2019.","Griffin B","Front Psychiatry","2020","2020/02/04","PMC6978281","","10.3389/fpsyt.2019.00949"
"30644314","Ramucirumab and its use in the treatment of hepatocellular carcinoma","Turkes F, Chau I.","Future Oncol. 2019 Mar;15(9):979-988. doi: 10.2217/fon-2018-0822. Epub 2019 Jan 15.","Turkes F","Future Oncol","2019","2019/01/16","","","10.2217/fon-2018-0822"
"30952582","Technology-enabled seizure detection and reporting: The epilepsy network project","Page RA.","Epilepsy Res. 2019 Jul;153:85-87. doi: 10.1016/j.eplepsyres.2019.02.016. Epub 2019 Feb 26.","Page RA","Epilepsy Res","2019","2019/04/07","","","10.1016/j.eplepsyres.2019.02.016"
"31205653","Training in therapeutic endoscopy: meeting present and future challenges","Anderson J, Lockett M.","Frontline Gastroenterol. 2019 Apr;10(2):135-140. doi: 10.1136/flgastro-2018-101086. Epub 2019 Feb 12.","Anderson J","Frontline Gastroenterol","2019","2019/06/18","PMC6540612","","10.1136/flgastro-2018-101086"
"30767758","Imaging of Pancreatic-Neuroendocrine Tumours: An Outline of Conventional Radiological Techniques","Zamir MA, Hakim W, Yusuf S, Thomas R.","Curr Radiopharm. 2019;12(2):135-155. doi: 10.2174/1874471012666190214165845.","Zamir MA","Curr Radiopharm","2019","2019/02/16","","","10.2174/1874471012666190214165845"
"33456877","Regional anaesthesia for shoulder surgery","Hewson DW, Oldman M, Bedforth NM.","BJA Educ. 2019 Apr;19(4):98-104. doi: 10.1016/j.bjae.2018.12.004. Epub 2019 Feb 6.","Hewson DW","BJA Educ","2019","2021/01/18","PMC7808080","","10.1016/j.bjae.2018.12.004"
"33456871","Overview of paediatric palliative care","Aidoo E, Rajapakse D.","BJA Educ. 2019 Feb;19(2):60-64. doi: 10.1016/j.bjae.2018.11.001. Epub 2018 Dec 14.","Aidoo E","BJA Educ","2019","2021/01/18","PMC7807975","","10.1016/j.bjae.2018.11.001"
"31639684","kEDTA Sample Contamination: A Reappraisal","Chadwick K, Whitehead SJ, Ford C, Gama R.","J Appl Lab Med. 2019 May;3(6):925-935. doi: 10.1373/jalm.2018.027920. Epub 2019 Jan 22.","Chadwick K","J Appl Lab Med","2019","2019/10/23","","","10.1373/jalm.2018.027920"
"30651244","How I treat… alcohol-related liver disease","Tyson LD, Lewis H.","Clin Med (Lond). 2019 Jan;19(1):43-46. doi: 10.7861/clinmedicine.19-1-43.","Tyson LD","Clin Med (Lond)","2019","2019/01/18","PMC6399631","","10.7861/clinmedicine.19-1-43"
"30770353","Using data for improvement","Shah A.","BMJ. 2019 Feb 15;364:l189. doi: 10.1136/bmj.l189.","Shah A","BMJ","2019","2019/02/17","PMC6376414","","10.1136/bmj.l189"
"31468895","Preventing, identifying and treating hepatitis C","Caldwell H.","Nurs Stand. 2019 Jan 8. doi: 10.7748/ns.2018.e11321. Online ahead of print.","Caldwell H","Nurs Stand","2019","2019/08/31","","","10.7748/ns.2018.e11321"
"30665881","Simple and powerful: a consultant and governance-led bereavement service","Grimes CE, Stringer B, Roberts-Jones L.","BMJ Support Palliat Care. 2020 Jun;10(2):224-227. doi: 10.1136/bmjspcare-2018-001661. Epub 2019 Jan 10.","Grimes CE","BMJ Support Palliat Care","2020","2019/01/23","","","10.1136/bmjspcare-2018-001661"
"33456882","Anaesthesia for major middle ear surgery","Pairaudeau C, Mendonca C.","BJA Educ. 2019 May;19(5):136-143. doi: 10.1016/j.bjae.2019.01.006. Epub 2019 Mar 6.","Pairaudeau C","BJA Educ","2019","2021/01/18","PMC7808081","","10.1016/j.bjae.2019.01.006"
"33456873","'MORAL balance' decision-making in critical care","Harvey DJR, Gardiner D.","BJA Educ. 2019 Mar;19(3):68-73. doi: 10.1016/j.bjae.2018.11.006. Epub 2018 Dec 10.","Harvey DJR","BJA Educ","2019","2021/01/18","PMC7807973","","10.1016/j.bjae.2018.11.006"
"30567845","Challenging the supremacy of intravenous antibiotics","Powell N, Wilcock M.","Drug Ther Bull. 2019 Jan;57(1):2. doi: 10.1136/dtb.2018.000042.","Powell N","Drug Ther Bull","2019","2018/12/21","","","10.1136/dtb.2018.000042"
"30771031","Prolene hernia system versus Lichtenstein repair for inguinal hernia: a meta-analysis","Decker E, Currie A, Baig MK.","Hernia. 2019 Jun;23(3):541-546. doi: 10.1007/s10029-019-01897-w. Epub 2019 Feb 15.","Decker E","Hernia","2019","2019/02/17","","","10.1007/s10029-019-01897-w"
"31582971","Up-to-Date Tailored Systemic Treatment in Pancreatic Ductal Adenocarcinoma","Fong CYK, Burke E, Cunningham D, Starling N.","Gastroenterol Res Pract. 2019 Sep 5;2019:7135437. doi: 10.1155/2019/7135437. eCollection 2019.","Fong CYK","Gastroenterol Res Pract","2019","2019/10/05","PMC6748185","","10.1155/2019/7135437"
"30986230","Faecal volatile biomarkers of Clostridium difficile infection","Patel M, Fowler D, Sizer J, Walton C.","PLoS One. 2019 Apr 15;14(4):e0215256. doi: 10.1371/journal.pone.0215256. eCollection 2019.","Patel M","PLoS One","2019","2019/04/16","PMC6464219","","10.1371/journal.pone.0215256"
"30798254","Minimising diagnostic delay in lung cancer","Rogers TK.","Thorax. 2019 Apr;74(4):319-320. doi: 10.1136/thoraxjnl-2018-212927. Epub 2019 Feb 23.","Rogers TK","Thorax","2019","2019/02/25","","","10.1136/thoraxjnl-2018-212927"
"30733213","Subacromial decompression surgery for shoulder pain","Aresti NA, Di Mascio L.","BMJ. 2019 Feb 7;364:l586. doi: 10.1136/bmj.l586.","Aresti NA","BMJ","2019","2019/02/09","","","10.1136/bmj.l586"
"31320811","How Will the New Global Polycystic Ovary Syndrome Guideline Change Our Clinical Practice?","Jacob S, Balen AH.","Clin Med Insights Reprod Health. 2019 Jul 3;13:1179558119849605. doi: 10.1177/1179558119849605. eCollection 2019.","Jacob S","Clin Med Insights Reprod Health","2019","2019/07/20","PMC6610395","","10.1177/1179558119849605"
"31145074","Pembrolizumab-Induced Alopecia Areata","Elshimy N, Blakeway E, Mitra A.","Skinmed. 2019 May 29;17(2):142-143. eCollection 2019.","Elshimy N","Skinmed","2019","2019/05/31","","",""
"30903120","Oral care and nursing home-acquired pneumonia","Muir M, Burns J, McGoldrick N.","Evid Based Dent. 2019 Mar;20(1):14-15. doi: 10.1038/s41432-019-0002-0.","Muir M","Evid Based Dent","2019","2019/03/24","","","10.1038/s41432-019-0002-0"
"30673313","Patient- and relative-activated critical care outreach: a 7-year service review","Odell M.","Br J Nurs. 2019 Jan 24;28(2):116-121. doi: 10.12968/bjon.2019.28.2.116.","Odell M","Br J Nurs","2019","2019/01/24","","","10.12968/bjon.2019.28.2.116"
"29802103","Learning from claims: hyperbilirubinaemia and kernicterus","Rennie JM, Beer J, Upton M.","Arch Dis Child Fetal Neonatal Ed. 2019 Mar;104(2):F202-F204. doi: 10.1136/archdischild-2017-314622. Epub 2018 May 25.","Rennie JM","Arch Dis Child Fetal Neonatal Ed","2019","2018/05/27","PMC6580733","","10.1136/archdischild-2017-314622"
"30828183","Bone block procedures for glenohumeral joint instability","Nzeako O, Bakti N, Bawale R, Singh B.","J Clin Orthop Trauma. 2019 Mar-Apr;10(2):231-235. doi: 10.1016/j.jcot.2018.10.002. Epub 2018 Oct 12.","Nzeako O","J Clin Orthop Trauma","2019","2019/03/05","PMC6383128","","10.1016/j.jcot.2018.10.002"
"30841944","Telepsychiatry in intellectual disability psychiatry: literature review","Madhavan G.","BJPsych Bull. 2019 Aug;43(4):167-173. doi: 10.1192/bjb.2019.5. Epub 2019 Mar 7.","Madhavan G","BJPsych Bull","2019","2019/03/08","PMC6642997","","10.1192/bjb.2019.5"
"31827929","Neurosurgical Care of Nonpowder Firearm Injuries: A Narrative Review of the Literature","Wan Y, Griffiths S, Ganau M.","Emerg Med Int. 2019 Nov 20;2019:4680184. doi: 10.1155/2019/4680184. eCollection 2019.","Wan Y","Emerg Med Int","2019","2019/12/13","PMC6886332","","10.1155/2019/4680184"
"30656825","Dr Jekyll and Mr Hyde","Jha S.","BJOG. 2019 Mar;126(4):443. doi: 10.1111/1471-0528.15568. Epub 2019 Jan 17.","Jha S","BJOG","2019","2019/01/19","","","10.1111/1471-0528.15568"
"30859641","2018 European Conference on Donor Health and Management","Cho G.","Transfus Med. 2019 Feb;29(1):16-19. doi: 10.1111/tme.12589.","Cho G","Transfus Med","2019","2019/03/13","","","10.1111/tme.12589"
"30421961","Implementation of a supervised exercise therapy programme","Murgitroyd E, Fraser S, Hebson A, Lewis DR.","Ann R Coll Surg Engl. 2019 Jan;101(1):7-13. doi: 10.1308/rcsann.2018.0171. Epub 2018 Nov 13.","Murgitroyd E","Ann R Coll Surg Engl","2019","2018/11/14","PMC6303808","","10.1308/rcsann.2018.0171"
"33456874","Introduction to interpretation of the EEG in intensive care","Sewell L, Abbas A, Kane N.","BJA Educ. 2019 Mar;19(3):74-82. doi: 10.1016/j.bjae.2018.11.002. Epub 2018 Dec 17.","Sewell L","BJA Educ","2019","2021/01/18","PMC7808102","","10.1016/j.bjae.2018.11.002"
"31206048","Woman-Centred Induction of Labour (the WOCIL project)","O'Dwyer S, Clark A, Taggart H, Noori M.","BMJ Open Qual. 2019 Apr 8;8(2):e000389. doi: 10.1136/bmjoq-2018-000389. eCollection 2019.","O'Dwyer S","BMJ Open Qual","2019","2019/06/18","PMC6542457","","10.1136/bmjoq-2018-000389"
"31133895","Patients', Carers', and the Public's Perspectives on Electroconvulsive Therapy","Griffiths C, O'Neill-Kerr A.","Front Psychiatry. 2019 May 7;10:304. doi: 10.3389/fpsyt.2019.00304. eCollection 2019.","Griffiths C","Front Psychiatry","2019","2019/05/29","PMC6514218","","10.3389/fpsyt.2019.00304"
"30887120","Reliability of the commonly used classification systems for interprosthetic fractures","Jennison T, Jawed A, ElBakoury A, Hosny H, Yarlagadda R.","Eur J Orthop Surg Traumatol. 2019 Jul;29(5):1069-1072. doi: 10.1007/s00590-019-02393-8. Epub 2019 Mar 18.","Jennison T","Eur J Orthop Surg Traumatol","2019","2019/03/20","","","10.1007/s00590-019-02393-8"
"31080236","Systematic Reviews and Meta-analysis: Principles and Practice","Shrestha BM.","JNMA J Nepal Med Assoc. 2019 Jan-Feb;57(215):1-2. doi: 10.31729/jnma.3986.","Shrestha BM","JNMA J Nepal Med Assoc","2019","2019/05/14","PMC8827566","","10.31729/jnma.3986"
"31355587","Ultrasound features of sole of foot pathology: a review","Filippini C, Teh J.","J Ultrason. 2019;19(77):145-151. doi: 10.15557/JoU.2019.0021. Epub 2019 Jun 28.","Filippini C","J Ultrason","2019","2019/07/30","PMC6750320","","10.15557/JoU.2019.0021"
"30928935","Does ethnic diversity explain intra-UK variation in mortality? A longitudinal cohort study","Schofield L, Walsh D, Feng Z, Buchanan D, Dibben C, Fischbacher C, McCartney G, Munoz-Arroyo R, Whyte B.","BMJ Open. 2019 Mar 30;9(3):e024563. doi: 10.1136/bmjopen-2018-024563.","Schofield L","BMJ Open","2019","2019/04/01","PMC6475238","","10.1136/bmjopen-2018-024563"
"30925252","Urinalysis using a test strip","Martin C, Martin H.","Br J Nurs. 2019 Mar 28;28(6):336-340. doi: 10.12968/bjon.2019.28.6.336.","Martin C","Br J Nurs","2019","2019/03/30","","","10.12968/bjon.2019.28.6.336"
"30415205","A career in cardiology: why?","Coyle C, Evans H.","Heart. 2019 Mar;105(6):498. doi: 10.1136/heartjnl-2018-314292. Epub 2018 Nov 10.","Coyle C","Heart","2019","2018/11/12","","","10.1136/heartjnl-2018-314292"
"30630653","Are All DCBs Created Equal?","Chaudhuri A.","Eur J Vasc Endovasc Surg. 2019 Apr;57(4):587. doi: 10.1016/j.ejvs.2018.12.016. Epub 2019 Jan 7.","Chaudhuri A","Eur J Vasc Endovasc Surg","2019","2019/01/12","","","10.1016/j.ejvs.2018.12.016"
"34368667","Water, life and death","Weinbren M.","Infect Prev Pract. 2019 Feb 20;1(1):100001. doi: 10.1016/j.infpip.2019.02.001. eCollection 2019 Mar.","Weinbren M","Infect Prev Pract","2019","2021/08/09","PMC8336163","","10.1016/j.infpip.2019.02.001"
"30591600","Treatment-resistant depression: consider autism","White MJ.","Br J Gen Pract. 2019 Jan;69(678):14. doi: 10.3399/bjgp19X700373.","White MJ","Br J Gen Pract","2019","2018/12/29","PMC6301365","","10.3399/bjgp19X700373"
"30511750","Nerve block site marking","Pollard R, Higham H, Quinlan J, Webster R, Lie J, Sivasubramaniam S.","Anaesthesia. 2019 Jan;74(1):123-124. doi: 10.1111/anae.14527.","Pollard R","Anaesthesia","2019","2018/12/05","","","10.1111/anae.14527"
"30651264","Feedback on CME haematology","Manavi K.","Clin Med (Lond). 2019 Jan;19(1):90-91. doi: 10.7861/clinmedicine.19-1-90b.","Manavi K","Clin Med (Lond)","2019","2019/01/18","PMC6399635","","10.7861/clinmedicine.19-1-90b"
"31055254","E-cigarettes: friend or foe?","Chanchlani N.","BMJ. 2019 Jan 8;364:j5150. doi: 10.1136/sbmj.j5150.","Chanchlani N","BMJ","2019","2019/05/06","","","10.1136/sbmj.j5150"
"30665987","Providing the most appropriate care to our individual patients","Cipriani A, Tomlinson A.","Evid Based Ment Health. 2019 Feb;22(1):1-2. doi: 10.1136/ebmental-2019-300080. Epub 2019 Jan 21.","Cipriani A","Evid Based Ment Health","2019","2019/01/23","","","10.1136/ebmental-2019-300080"
"30871849","Melanotic neuroectodermal tumour of infancy: Refining the surgical approach","Rickart AJ, Drummond-Hay V, Suchak A, Sadiq Z, Sebire NJ, Slater O, Mills C.","Int J Oral Maxillofac Surg. 2019 Oct;48(10):1307-1312. doi: 10.1016/j.ijom.2019.02.011. Epub 2019 Mar 11.","Rickart AJ","Int J Oral Maxillofac Surg","2019","2019/03/16","","","10.1016/j.ijom.2019.02.011"
"30739924","Impact Factor of Medical Journals","Shrestha BM.","J Nepal Health Res Counc. 2019 Jan 28;16(41):475-478.","Shrestha BM","J Nepal Health Res Counc","2019","2019/02/12","","",""
"31909396","Management of spontaneous and iatrogenic perforations, leaks and fistulae of the upper gastrointestinal tract","Al-Asiry J, Lord R, Mohammed N.","Ther Adv Gastrointest Endosc. 2019 Dec 26;12:2631774519895845. doi: 10.1177/2631774519895845. eCollection 2019 Jan-Dec.","Al-Asiry J","Ther Adv Gastrointest Endosc","2019","2020/01/08","PMC6935768","","10.1177/2631774519895845"
"30644321","The incidence of post-thyroidectomy hypocalcaemia: a retrospective single-centre audit","Arman S, Vijendren A, Mochloulis G.","Ann R Coll Surg Engl. 2019 Apr;101(4):273-278. doi: 10.1308/rcsann.2018.0219. Epub 2019 Jan 15.","Arman S","Ann R Coll Surg Engl","2019","2019/01/16","PMC6432957","","10.1308/rcsann.2018.0219"
"31675685","Necrotising fasciitis of the breast: A rare but deadly disease","Marks B, Fasih T, Amonkar S, Pervaz M.","Int J Surg Case Rep. 2019;65:10-14. doi: 10.1016/j.ijscr.2019.10.020. Epub 2019 Oct 18.","Marks B","Int J Surg Case Rep","2019","2019/11/02","PMC6838545","","10.1016/j.ijscr.2019.10.020"
"29603550","The links between adult attachment and post-traumatic stress: A systematic review","Barazzone N, Santos I, McGowan J, Donaghay-Spire E.","Psychol Psychother. 2019 Mar;92(1):131-147. doi: 10.1111/papt.12181. Epub 2018 Mar 30.","Barazzone N","Psychol Psychother","2019","2018/04/01","","","10.1111/papt.12181"
"31937129","Reverse Squeeze Maxillary Sinus Barotrauma","Misirovs R, Mohamad S.","Ear Nose Throat J. 2020 Jan;99(1):NP9-NP10. doi: 10.1177/0145561319825556. Epub 2019 Feb 15.","Misirovs R","Ear Nose Throat J","2020","2020/01/16","","","10.1177/0145561319825556"
"30839005","Author's reply","Abbas A.","J R Coll Physicians Edinb. 2019 Mar;49(1):92-94. doi: 10.4997/JRCPE.2019.123.","Abbas A","J R Coll Physicians Edinb","2019","2019/03/07","","","10.4997/JRCPE.2019.123"
"30628006","Association between metabolic syndrome and hepatobiliary cancers: A case-control study","Menon S, Mathew R.","Indian J Gastroenterol. 2019 Feb;38(1):61-68. doi: 10.1007/s12664-018-0925-y. Epub 2019 Jan 10.","Menon S","Indian J Gastroenterol","2019","2019/01/11","","","10.1007/s12664-018-0925-y"
"30651269","CYP24A1 mutations and hypervitaminosis D","Willows J, Sayer JA.","Clin Med (Lond). 2019 Jan;19(1):92-93. doi: 10.7861/clinmedicine.19-1-92a.","Willows J","Clin Med (Lond)","2019","2019/01/18","PMC6399622","","10.7861/clinmedicine.19-1-92a"
